county,population,populationdensity,Per capita income,Median household income,Median family income,Registered voters,Democratic,Republican,D-R spread,Other,No party preference,FIPS,County Seat,Land Area (km2),Land Area (mi2),Water Area (km2),Water Area (mi2),Total Area (km2),Total Area (mi2),centroid_latitude,centroid_longitude
Sacramento,1450277,1503,27071,55615,64496,49.5,43.9,31.9,12,7.5,19.6,6067,Sacramento,2498.416,964.644,76.077,29.374,2574.493,994.018,38.450011,-121.340441
San Benito,56888,41,26317,67874,71124,48.6,47.4,29.4,18,6.6,19.2,6069,Hollister,3596.742,1388.71,4.555,1.759,3601.297,1390.469,36.610702,-121.085296
San Bernardino,2078586,103.6,21384,54100,59626,43,39.1,35.4,3.7,8.7,20.4,6071,San Bernardino,51947.23,20056.938,124.028,47.888,52071.258,20104.826,34.85722,-116.181197
San Diego,3183143,756.7,31043,63996,74569,51.5,35.3,33.9,1.4,8.5,25.6,6073,San Diego,10895.121,4206.63,826.348,319.055,11721.469,4525.685,33.023604,-116.776117
San Francisco,829072,17680.1,49986,78378,93391,62.4,55.6,8.6,47,6.4,31.1,6075,San Francisco,121.4,46.873,479.19,185.016,600.59,231.889,37.727239,-123.032229
San Joaquin,701050,503.9,22642,53253,59614,43.2,43.7,36.4,7.3,6.6,15.8,6077,Stockton,3603.506,1391.322,91.109,35.177,3694.615,1426.499,37.935034,-121.272237
San Luis Obispo,274184,83.1,30392,59454,75828,58.4,33.8,39.4,-5.6,8.6,20.9,6079,San Luis Obispo,8543.248,3298.567,820.975,316.98,9364.223,3615.547,35.385227,-120.44754
San Mateo,739837,1649.7,47198,91421,108088,50.7,51.3,19.4,31.9,5.9,25.5,6081,Redwood City,1161.372,448.408,757.704,292.551,1919.076,740.959,37.414664,-122.371542
Santa Barbara,431555,157.8,30526,63409,73636,47.1,41.4,30.8,10.6,7.8,22.6,6083,Santa Barbara,7083.838,2735.085,2729.829,1053.993,9813.667,3789.078,34.537378,-120.038485
Santa Clara,1841569,1427.3,42666,93854,106401,46.4,45.6,21.7,23.9,5.7,29,6085,San Jose,3341.343,1290.1,36.175,13.967,3377.518,1304.067,37.220777,-121.690622
Santa Cruz,267203,600.2,33050,66923,81495,61,54.2,16.5,37.7,8.8,22.8,6087,Santa Cruz,1152.986,445.17,419.569,161.996,1572.555,607.166,37.012488,-122.007205
Shasta,178520,47.3,23763,44556,55028,55.3,26.5,46.7,-20.2,9.3,21.2,6089,Redding,9778.247,3775.402,186.531,72.02,9964.778,3847.422,40.760522,-122.04355
Sierra,3019,3.2,28030,43107,57708,67.8,28.4,42.2,-13.8,15.8,19.2,6091,Downieville,2468.814,953.214,23.299,8.996,2492.113,962.21,39.576925,-120.521993
Siskiyou,44261,7.1,22482,37495,46079,57.2,32.3,40.9,-8.6,11.2,20.1,6093,Yreka,16259.652,6277.887,179.889,69.456,16439.542,6347.343,41.587986,-122.533287
Solano,421624,513.1,29132,67341,77634,51.1,48.6,25,23.6,7.3,22,6095,Fairfield,2128.361,821.765,218.666,84.427,2347.027,906.192,38.267226,-121.939594
Sonoma,491790,312.1,33361,63799,76614,54.7,51.5,21.6,29.9,8.2,21.3,6097,Santa Rosa,4081.43,1575.849,497.53,192.098,4578.96,1767.947,38.532574,-122.945194
Stanislaus,522794,349.8,21729,49573,55357,45.2,40,38.8,1.2,7.7,16.2,6099,Modesto,3871.583,1494.827,51.437,19.86,3923.02,1514.687,37.562384,-121.002656
Sutter,95067,157.8,23828,51527,58434,44.3,32.5,44.5,-12,8.8,17.5,6101,Yuba City,1560.236,602.41,15.747,6.08,1575.983,608.49,39.035257,-121.702758
Tehama,63284,21.5,21002,42369,49731,48.4,30.1,44.4,-14.3,11.7,18.8,6103,Red Bluff,7639.71,2949.709,32.276,12.462,7671.986,2962.171,40.126156,-122.232276
Trinity,13515,4.3,23145,36862,49221,57.2,33.5,34.3,-0.8,14.1,22.9,6105,Weaverville,8234.23,3179.254,73.408,28.343,8307.638,3207.597,40.647724,-123.114404
Tulare,451108,93.5,17888,42863,45296,33.2,34,43.7,-9.7,8,17.7,6107,Visalia,12494.658,4824.215,37.392,14.437,12532.05,4838.652,36.230453,-118.780542
Tuolumne,54347,24.5,26063,48493,58355,57.6,32.1,42.1,-10,10.2,19.6,6109,Sonora,5752.063,2220.884,138.684,53.546,5890.746,2274.43,38.021451,-119.964708
Ventura,835790,453.5,33308,77335,86890,52.9,38.6,36,2.6,7.8,20.1,6111,Ventura,4773.692,1843.133,945.992,365.249,5719.684,2208.382,34.358742,-119.133143
Yolo,204162,201.2,28080,55508,75225,51.2,47.2,23.9,23.3,8,23.6,6113,Woodland,2628.032,1014.689,22.969,8.868,2651.002,1023.557,38.679268,-121.903178
Yuba,73059,115.6,19586,45470,49560,40.4,31.5,39.3,-7.8,11,22.9,6115,Marysville,1636.454,631.839,30.999,11.969,1667.453,643.808,39.270026,-121.34428
