,county,restaurant,id,lat,lng,city,category name,category plural name,category short name,price,rating
1260,Riverside,7-Eleven,57d2cdaf498e4eccfebef57b,33.97458,-117.37382,Riverside,Convenience Store,Convenience Stores,Convenience Store,,6.7
1261,Riverside,Cafe Sevilla,4afa1f9bf964a520eb1622e3,33.98029731513215,-117.36886952399192,Riverside,Tapas Restaurant,Tapas Restaurants,Tapas,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",8.1
1262,Riverside,Ten Ren's Tea Time,4b1abc69f964a520a0f023e3,33.975577185680486,-117.3415693532455,Riverside,Tea Room,Tea Rooms,Tea Room,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.6
1263,Riverside,Punjab Palace,4df13d29b0fb807158b882c2,33.97531916393485,-117.34983489681841,Riverside,Indian Restaurant,Indian Restaurants,Indian,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.0
1264,Riverside,Del Taco,4c67b0e4aebea59332e876d0,33.97836712263049,-117.38344777439647,Riverside,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.5
1265,Riverside,Jack in the Box,4fa2f17be4b0a03ddca7f1ba,33.953875572171995,-117.38885760326167,Riverside,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.6
1266,Riverside,The Salted Pig,4ceab41bb4952d43b29f63f5,33.978119752386526,-117.37742110766344,Riverside,Gastropub,Gastropubs,Gastropub,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.5
1267,Riverside,Mission Inn Restaurant,4b77055cf964a5202d752ee3,33.98327477866841,-117.37257754042206,Riverside,American Restaurant,American Restaurants,American,"{'tier': 4, 'message': 'Very Expensive', 'currency': '$'}",7.5
1268,Riverside,Dhat Creole Grill,5b8ddc42c62b49002c70bb1f,33.984481,-117.374806,Riverside,Cajun / Creole Restaurant,Cajun / Creole Restaurants,Cajun / Creole,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",
1269,Riverside,Soho Ramen,5b8ddc0ea5a315002c8c700e,33.984433,-117.37484,Riverside,Ramen Restaurant,Ramen Restaurants,Ramen,,
1270,Riverside,Taco Bell,4bdb67c663c5c9b684d42768,33.9751170127044,-117.34247785754116,Riverside,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",5.9
1271,Riverside,Mezcal Cantina y Cocina,5328e59d11d2419baa4add30,33.98227308136029,-117.3744873739714,Riverside,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.7
1272,Riverside,Sonic America's Drive-In,565673e8498e3d9d339fccc1,33.9205104032889,-117.44692750651666,Riverside,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.1
1273,Riverside,Back to the Grind,45558620f964a520193d1fe3,33.98136634849864,-117.37278050787782,Riverside,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.8
1274,Riverside,PRO∀BITION Whiskey Bar & Restaurant,51466033e4b0925719549b9b,33.98411242670239,-117.37324952834763,Riverside,Bar,Bars,Bar,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",7.8
1275,Riverside,Taco Station,4b6c76acf964a5202d3c2ce3,33.984753085468554,-117.3782805280438,Riverside,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.9
1276,Riverside,Molinos Coffee,529d67e3498ea495f3f46dc5,33.98269871968684,-117.37340119702256,Riverside,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.1
1277,Riverside,McDonald's,4bbb82a0afe1b71387472f4b,33.975335,-117.35923,Riverside,Fast Food Restaurant,Fast Food Restaurants,Fast Food,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",6.6
1278,Riverside,In-N-Out Burger,4b3676d2f964a5200f3625e3,33.93583667424928,-117.4037843809958,Riverside,Burger Joint,Burger Joints,Burgers,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.7
1279,Riverside,The Old Spaghetti Factory,4b09a49af964a520e21a23e3,33.980494,-117.367675,Riverside,Italian Restaurant,Italian Restaurants,Italian,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.4
1280,Riverside,Riverside Food Lab,5b8af5db5d891b002c1c6bdb,33.98432,-117.374725,Riverside,Food Court,Food Courts,Food Court,,7.6
1281,Riverside,Dia De Los Puercos,5b957e09c9a517002c6db426,33.984377,-117.374823,Riverside,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",
1282,Riverside,Dairy Queen,4ba1a188f964a520e4c437e3,33.935806707427865,-117.43508361054963,Riverside,Ice Cream Shop,Ice Cream Shops,Ice Cream,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.2
1283,Riverside,Augie's Coffee Roasters,52686c1211d2b54a92256ab2,33.97808128195157,-117.3773250109258,Riverside,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",8.2
1284,Riverside,Food 4 Less Fuel Center,4f5800d6e4b032fce5c9992d,33.92753777614529,-117.45339632034302,Riverside,Gas Station,Gas Stations,Gas Station,,6.1
1285,Riverside,Simple Simon's Bakery & Bistro,4b521516f964a520756627e3,33.983696610259145,-117.37356917395925,Riverside,Bakery,Bakeries,Bakery,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.0
1286,Sacramento,Temple Coffee & Tea,4b1c1d5ff964a520680224e3,38.56389899552608,-121.47240808754773,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",9.0
1287,Sacramento,Sauced BBQ & Spirits - Sacramento,5863df3e876ade0a3535ff75,38.58053214012706,-121.49800812058417,Sacramento,BBQ Joint,BBQ Joints,BBQ,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",7.6
1288,Sacramento,Starbucks Reserve,59c7c44d4382ab16da82ad89,38.58013220182467,-121.49808734033901,Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.7
1289,Sacramento,Echo & Rig,5ac8270e598e6406b1eb2edf,38.581955,-121.49927,Sacramento,Steakhouse,Steakhouses,Steakhouse,"{'tier': 4, 'message': 'Very Expensive', 'currency': '$'}",
1290,Sacramento,Starbucks,4b5feed7f964a520ffd029e3,38.550826,-121.538378,West Sacramento,Coffee Shop,Coffee Shops,Coffee Shop,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",7.7
1291,Sacramento,Il Fornaio,4b194af1f964a520afda23e3,38.57884883074011,-121.50237590408511,Sacramento,Italian Restaurant,Italian Restaurants,Italian,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",8.4
1292,Sacramento,Burgers and Brew,5848d17cb12d9f194b691297,38.588070051508936,-121.5098975199589,West Sacramento,New American Restaurant,New American Restaurants,New American,"{'tier': 3, 'message': 'Expensive', 'currency': '$'}",7.2
1293,Sacramento,Gunther's Quality Ice Cream,4b0586b4f964a520816a22e3,38.55348917503985,-121.47560607342403,Sacramento,Ice Cream Shop,Ice Cream Shops,Ice Cream,"{'tier': 1, 'message': 'Cheap', 'currency': '$'}",9.4
1294,Sacramento,Punch Bowl Social,5a2d749f95d98607285ec505,38.581485386968026,-121.4998093558197,Sacramento,Arcade,Arcades,Arcade,,6.7
1295,Sacramento,Tequila Museo Mayahuel,4c635c4f58810f47beb6091e,38.578452838353265,-121.49119943858119,Sacramento,Mexican Restaurant,Mexican Restaurants,Mexican,"{'tier': 2, 'message': 'Moderate', 'currency': '$'}",8.3
